irpg_name,irpg_id
IRPG01,1
IRPG02,2
IRPG03,3
IRPG04,4
IRPG05,5
IRPG06,6
IRPG07,7
IRPG08,8
IRPG09,9
IRPG10,10
IRPG11,11
IRPG12,12
IRPG13,13
IRPG14,14
IRPG15,15
IRPG16,16
