variety_name,variety_id,category
Local Variety,1,Rice
Phka Rumduol,2,Rice
Sticky Rice,3,Rice
Certified Seed Phka Rumduol,4,Rice
Register Seed Phka Rumduol,5,Rice
Red Jasmine,6,Rice
Sticky HNN,7,Rice
Certified Seed Red Jasmine,8,Rice
High Quality Seed Red Jasmine,9,Rice
Collection rice,10,Rice
Sbai Mongkul Register Seed,11,Rice
Crop (Non rice),12,Rice
Mix (Rice and crop),13,Rice
